season,matchday,home team,away team,home attendance,away attendance,total attendance,winning team
2017-2018,21,hapoel raanana,hapoel acre,854,25,879,A
2017-2018,21,ironi kiryat shmona,maccabi netanya,880,650,1530,A
2017-2018,21,beitar jerusalem,maccabi haifa,8259,2184,10443,H
2017-2018,21,ashdod fc,bnei yehuda tel aviv,843,375,1218,D
2017-2018,21,maccabi tel aviv,hapoel beer sheva,11147,1250,12397,H
2017-2018,21,maccabi petah tikva,hapoel ashqelon,1150,85,1235,H
2017-2018,22,hapoel raanana,hapoel haifa,450,1150,1600,D
2017-2018,22,bnei yehuda tel aviv,maccabi petah tikva,1500,600,2100,H
2017-2018,22,maccabi haifa,ironi kiryat shmona,12000,63,12063,H
2017-2018,22,hapoel ashqelon,beitar jerusalem,2200,3000,5200,A
2017-2018,22,maccabi netanya,bnei sakhnin,4391,385,4776,D
2017-2018,22,hapoel acre,maccabi tel aviv,1000,2200,3200,A
2017-2018,22,hapoel beer sheva,ashdod fc,14786,100,14886,H
2017-2018,23,maccabi tel aviv,hapoel raanana,9556,100,9656,A
2017-2018,23,ashdod fc,hapoel acre,340,60,400,H
2017-2018,23,bnei sakhnin,maccabi haifa,800,1500,2300,H
2017-2018,23,hapoel beer sheva,maccabi petah tikva,14153,20,14173,H
2017-2018,23,ironi kiryat shmona,hapoel ashqelon,250,53,303,H
2017-2018,23,hapoel haifa,maccabi netanya,3930,1500,5430,H
2017-2018,23,beitar jerusalem,bnei yehuda tel aviv,30,30,60,H
2017-2018,24,hapoel raanana,ashdod fc,522,90,612,H
2017-2018,24,hapoel ashqelon,bnei sakhnin,1270,120,1390,A
2017-2018,24,maccabi haifa,maccabi netanya,12416,2051,14467,A
2017-2018,24,maccabi tel aviv,hapoel haifa,10300,1238,11538,H
2017-2018,24,bnei yehuda tel aviv,ironi kiryat shmona,1050,70,1120,H
2017-2018,24,hapoel beer sheva,beitar jerusalem,13900,1800,15700,D
2017-2018,24,maccabi petah tikva,hapoel acre,540,50,590,H
2017-2018,25,maccabi petah tikva,hapoel raanana,1120,60,1180,H
2017-2018,25,bnei sakhnin,bnei yehuda tel aviv,850,100,950,D
2017-2018,25,maccabi netanya,hapoel ashqelon,4650,100,4750,H
2017-2018,25,ashdod fc,maccabi tel aviv,1200,3800,5000,D
2017-2018,25,ironi kiryat shmona,hapoel beer sheva,719,441,1160,A
2017-2018,25,beitar jerusalem,hapoel acre,6000,62,6062,H
2017-2018,25,maccabi haifa,hapoel haifa,8508,1624,10132,A
2017-2018,26,bnei yehuda tel aviv,maccabi netanya,1600,1550,3150,A
2017-2018,26,hapoel haifa,ashdod fc,4900,27,4927,H
2017-2018,26,hapoel ashqelon,maccabi haifa,1954,1219,3173,D
2017-2018,26,hapoel beer sheva,bnei sakhnin,14064,400,14464,H
2017-2018,26,hapoel acre,ironi kiryat shmona,260,40,300,A
2017-2018,26,hapoel raanana,beitar jerusalem,480,4800,5280,A
2017-2018,26,maccabi tel aviv,maccabi petah tikva,7985,60,8045,H
2017-2018,27,maccabi haifa,hapoel acre,6892,50,6942,H
2017-2018,27,ironi kiryat shmona,hapoel ashqelon,240,50,290,D
2017-2018,27,bnei sakhnin,ashdod fc,2500,10,2510,H
2017-2018,27,beitar jerusalem,maccabi netanya,9200,1000,10200,H
2017-2018,27,maccabi petah tikva,hapoel raanana,1000,40,1040,A
2017-2018,27,hapoel beer sheva,bnei yehuda tel aviv,14060,300,14360,H
2017-2018,27,maccabi tel aviv,hapoel haifa,10700,624,11324,A
2017-2018,28,maccabi netanya,maccabi tel aviv,6000,3900,9900,H
2017-2018,28,bnei yehuda tel aviv,hapoel haifa,1035,915,1950,H
2017-2018,28,hapoel beer sheva,beitar jerusalem,14100,1800,15900,H
2017-2018,28,maccabi petah tikva,ironi kiryat shmona,1000,100,1100,H
2017-2018,28,hapoel raanana,hapoel acre,270,19,289,D
2017-2018,28,hapoel ashqelon,bnei sakhnin,980,40,1020,H
2017-2018,28,ashdod fc,maccabi haifa,360,540,900,H
2017-2018,29,hapoel haifa,maccabi netanya,2900,1200,4100,D
2017-2018,29,beitar jerusalem,bnei yehuda tel aviv,6800,70,6870,D
2017-2018,29,maccabi tel aviv,hapoel beer sheva,11500,1500,13000,A
2017-2018,29,hapoel acre,ashdod fc,300,100,400,D
2017-2018,29,ironi kiryat shmona,hapoel raanana,250,25,275,A
2017-2018,29,maccabi haifa,hapoel ashqelon,7200,126,7326,H
2017-2018,29,bnei sakhnin,maccabi petah tikva,1180,11,1191,D
2017-2018,30,hapoel beer sheva,hapoel haifa,15350,550,15900,D
2017-2018,30,beitar jerusalem,maccabi tel aviv,11000,900,11900,H
2017-2018,30,bnei yehuda tel aviv,maccabi netanya,1100,1340,2440,A
2017-2018,30,ironi kiryat shmona,bnei sakhnin,110,40,150,H
2017-2018,30,maccabi petah tikva,maccabi haifa,1100,1050,2150,A
2017-2018,30,hapoel ashqelon,hapoel acre,2310,12,2322,A
2017-2018,30,hapoel raanana,ashdod fc,180,100,280,H
2017-2018,31,maccabi tel aviv,bnei yehuda tel aviv,4836,200,5036,H
2017-2018,31,maccabi netanya,hapoel beer sheva,7284,3500,10784,A
2017-2018,31,hapoel haifa,beitar jerusalem,4200,3500,7700,A
2017-2018,31,hapoel acre,maccabi petah tikva,250,6,256,H
2017-2018,31,maccabi haifa,ironi kiryat shmona,8112,50,8162,A
2017-2018,31,bnei sakhnin,hapoel raanana,635,15,650,A
2017-2018,31,ashdod fc,hapoel ashqelon,1404,996,2400,H
2017-2018,32,hapoel haifa,maccabi tel aviv,3100,900,4000,D
2017-2018,32,maccabi netanya,beitar jerusalem,4600,5900,10500,H
2017-2018,32,bnei yehuda tel aviv,hapoel beer sheva,1485,5850,7335,D
2017-2018,32,ironi kiryat shmona,hapoel acre,380,10,390,H
2017-2018,32,bnei sakhnin,maccabi haifa,400,100,500,D
2017-2018,32,hapoel raanana,hapoel ashqelon,100,10,110,H
2017-2018,32,maccabi petah tikva,ashdod fc,425,17,442,H
2017-2018,33,hapoel haifa,bnei yehuda tel aviv,3950,50,4000,H
2017-2018,33,beitar jerusalem,hapoel beer sheva,17000,8500,25500,A
2017-2018,33,maccabi tel aviv,maccabi netanya,5046,1300,6346,H
2017-2018,33,hapoel acre,bnei sakhnin,200,50,250,A
2017-2018,33,hapoel ashqelon,maccabi petah tikva,316,30,346,A
2017-2018,33,maccabi haifa,hapoel raanana,5083,15,5098,H
2017-2018,33,ashdod fc,ironi kiryat shmona,270,10,280,A
2017-2018,34,maccabi netanya,hapoel haifa,4395,585,4980,H
2017-2018,34,bnei yehuda tel aviv,beitar jerusalem,750,550,1300,D
2017-2018,34,hapoel beer sheva,maccabi tel aviv,14100,1800,15900,A
2017-2018,35,hapoel haifa,hapoel beer sheva,2450,450,2900,A
2017-2018,35,maccabi tel aviv,beitar jerusalem,6095,500,6595,H
2017-2018,35,maccabi netanya,bnei yehuda tel aviv,2750,75,2825,A
2017-2018,36,beitar jerusalem,hapoel haifa,0,0,0,D
2017-2018,36,bnei yehuda tel aviv,maccabi tel aviv,0,0,0,A
2017-2018,36,hapoel beer sheva,maccabi netanya,0,0,0,H
2018-2019,1,ashdod fc,bnei yehuda tel aviv,505,622,1127,H
2018-2019,1,hapoel hadera,hapoel tel aviv,780,4470,5250,H
2018-2019,1,hapoel haifa,maccabi netanya,3362,1643,5005,H
2018-2019,1,ironi kiryat shmona,hapoel beer sheva,1324,735,2059,D
2018-2019,1,bnei sakhnin,hapoel raanana,1500,10,1510,D
2018-2019,1,maccabi tel aviv,maccabi haifa,11000,1350,12350,H
2018-2019,1,maccabi petah tikva,beitar jerusalem,2000,7500,9500,H
2018-2019,2,hapoel raanana,ironi kiryat shmona,310,50,360,H
2018-2019,2,maccabi haifa,ashdod fc,13130,44,13174,H
2018-2019,2,maccabi netanya,bnei sakhnin,3500,500,4000,D
2018-2019,2,hapoel tel aviv,hapoel haifa,5409,850,6259,H
2018-2019,2,bnei yehuda tel aviv,maccabi petah tikva,737,369,1106,D
2018-2019,2,hapoel beer sheva,maccabi tel aviv,14100,1700,15800,D
2018-2019,2,beitar jerusalem,hapoel hadera,10050,350,10400,A
2018-2019,3,maccabi tel aviv,hapoel raanana,10600,124,10724,H
2018-2019,3,maccabi petah tikva,hapoel hadera,1000,500,1500,D
2018-2019,3,bnei sakhnin,hapoel tel aviv,2500,1500,4000,D
2018-2019,3,ashdod fc,hapoel beer sheva,1600,2900,4500,H
2018-2019,3,ironi kiryat shmona,maccabi netanya,500,200,700,H
2018-2019,3,bnei yehuda tel aviv,maccabi haifa,1410,4660,6070,D
2018-2019,3,hapoel haifa,beitar jerusalem,4700,4030,8730,D
2018-2019,4,hapoel tel aviv,ironi kiryat shmona,5979,80,6059,D
2018-2019,4,hapoel raanana,ashdod fc,230,101,331,D
2018-2019,4,maccabi haifa,maccabi petah tikva,14270,60,14330,A
2018-2019,4,maccabi netanya,maccabi tel aviv,5220,2480,7700,A
2018-2019,4,hapoel hadera,hapoel haifa,1737,1163,2900,H
2018-2019,4,hapoel beer sheva,bnei yehuda tel aviv,13900,200,14100,D
2018-2019,4,beitar jerusalem,bnei sakhnin,19290,710,20000,H
2018-2019,5,maccabi petah tikva,hapoel haifa,1250,650,1900,D
2018-2019,5,bnei sakhnin,hapoel hadera,2200,200,2400,A
2018-2019,5,ashdod fc,maccabi netanya,652,1188,1840,A
2018-2019,5,ironi kiryat shmona,beitar jerusalem,1580,2650,4230,H
2018-2019,5,bnei yehuda tel aviv,hapoel raanana,928,50,978,H
2018-2019,5,maccabi haifa,hapoel beer sheva,17823,1608,19431,D
2018-2019,5,maccabi tel aviv,hapoel tel aviv,10935,1300,12235,D
2018-2019,6,hapoel raanana,maccabi haifa,650,3350,4000,D
2018-2019,6,hapoel haifa,bnei sakhnin,3202,498,3700,A
2018-2019,6,maccabi netanya,bnei yehuda tel aviv,4900,500,5400,A
2018-2019,6,hapoel beer sheva,maccabi petah tikva,12667,103,12770,H
2018-2019,6,hapoel hadera,ironi kiryat shmona,1961,89,2050,H
2018-2019,6,beitar jerusalem,maccabi tel aviv,14600,3220,17820,A
2018-2019,6,hapoel tel aviv,ashdod fc,5740,60,5800,D
2018-2019,7,maccabi tel aviv,hapoel hadera,10873,1250,12123,H
2018-2019,7,ironi kiryat shmona,hapoel haifa,814,308,1122,D
2018-2019,7,bnei yehuda tel aviv,hapoel tel aviv,2010,3005,5015,D
2018-2019,7,hapoel beer sheva,hapoel raanana,14639,25,14664,H
2018-2019,7,maccabi petah tikva,bnei sakhnin,592,341,933,D
2018-2019,7,ashdod fc,beitar jerusalem,1590,3500,5090,D
2018-2019,7,maccabi haifa,maccabi netanya,12900,1016,13916,A
2018-2019,8,bnei sakhnin,ironi kiryat shmona,950,50,1000,A
2018-2019,8,hapoel raanana,maccabi petah tikva,203,199,402,H
2018-2019,8,maccabi netanya,hapoel beer sheva,5415,2006,7421,H
2018-2019,8,beitar jerusalem,bnei yehuda tel aviv,8766,492,9258,A
2018-2019,8,hapoel hadera,ashdod fc,1800,30,1830,H
2018-2019,8,hapoel haifa,maccabi tel aviv,3249,2644,5893,A
2018-2019,8,hapoel tel aviv,maccabi haifa,7149,1400,8549,A
2018-2019,9,hapoel raanana,maccabi netanya,600,1855,2455,A
2018-2019,9,maccabi petah tikva,ironi kiryat shmona,1250,50,1300,A
2018-2019,9,ashdod fc,hapoel haifa,900,300,1200,A
2018-2019,9,maccabi tel aviv,bnei sakhnin,9600,220,9820,H
2018-2019,9,bnei yehuda tel aviv,hapoel hadera,2365,600,2965,H
2018-2019,9,hapoel beer sheva,hapoel tel aviv,14048,1452,15500,H
2018-2019,9,maccabi haifa,beitar jerusalem,16707,3993,20700,A
2018-2019,10,maccabi netanya,maccabi petah tikva,5778,72,5850,A
2018-2019,10,hapoel haifa,bnei yehuda tel aviv,3616,804,4420,A
2018-2019,10,hapoel tel aviv,hapoel raanana,5800,50,5850,D
2018-2019,10,hapoel hadera,maccabi haifa,2716,3720,6436,A
2018-2019,10,ironi kiryat shmona,maccabi tel aviv,1500,1800,3300,A
2018-2019,10,beitar jerusalem,hapoel beer sheva,15405,2513,17918,A
2018-2019,10,bnei sakhnin,ashdod fc,1970,30,2000,H
2018-2019,11,bnei yehuda tel aviv,bnei sakhnin,1869,246,2115,A
2018-2019,11,ashdod fc,ironi kiryat shmona,700,50,750,H
2018-2019,11,hapoel beer sheva,hapoel hadera,14922,250,15172,D
2018-2019,11,maccabi haifa,hapoel haifa,27700,2288,29988,A
2018-2019,11,maccabi petah tikva,maccabi tel aviv,1200,7250,8450,D
2018-2019,11,hapoel raanana,beitar jerusalem,950,2500,3450,H
2018-2019,11,maccabi netanya,hapoel tel aviv,4500,1700,6200,D
2018-2019,12,ironi kiryat shmona,bnei yehuda tel aviv,793,151,944,A
2018-2019,12,bnei sakhnin,maccabi haifa,1900,400,2300,A
2018-2019,12,maccabi tel aviv,ashdod fc,8537,65,8602,H
2018-2019,12,hapoel haifa,hapoel beer sheva,3035,719,3754,D
2018-2019,12,hapoel hadera,hapoel raanana,1836,44,1880,D
2018-2019,12,maccabi petah tikva,hapoel tel aviv,800,1800,2600,D
2018-2019,12,beitar jerusalem,maccabi netanya,8173,251,8424,D
2018-2019,13,maccabi haifa,ironi kiryat shmona,10620,80,10700,D
2018-2019,13,ashdod fc,maccabi petah tikva,350,40,390,D
2018-2019,13,hapoel beer sheva,bnei sakhnin,13750,250,14000,D
2018-2019,13,bnei yehuda tel aviv,maccabi tel aviv,3000,5000,8000,A
2018-2019,13,hapoel raanana,hapoel haifa,250,750,1000,A
2018-2019,13,maccabi netanya,hapoel hadera,3710,650,4360,H
2018-2019,13,hapoel tel aviv,beitar jerusalem,6361,2000,8361,A
2018-2019,14,hapoel tel aviv,hapoel hadera,5000,400,5400,D
2018-2019,14,hapoel raanana,bnei sakhnin,300,200,500,H
2018-2019,14,maccabi netanya,hapoel haifa,4991,1030,6021,A
2018-2019,14,hapoel beer sheva,ironi kiryat shmona,13625,20,13645,H
2018-2019,14,bnei yehuda tel aviv,ashdod fc,1250,40,1290,H
2018-2019,14,beitar jerusalem,maccabi petah tikva,7650,53,7703,D
2018-2019,14,maccabi haifa,maccabi tel aviv,18593,3900,22493,A
2018-2019,15,maccabi petah tikva,bnei yehuda tel aviv,920,580,1500,D
2018-2019,15,bnei sakhnin,maccabi netanya,1158,242,1400,A
2018-2019,15,maccabi tel aviv,hapoel beer sheva,11251,1300,12551,H
2018-2019,15,ironi kiryat shmona,hapoel raanana,350,18,368,D
2018-2019,15,hapoel haifa,hapoel tel aviv,2725,1125,3850,D
2018-2019,15,ashdod fc,maccabi haifa,726,1390,2116,A
2018-2019,15,hapoel hadera,beitar jerusalem,1800,2000,3800,A
2018-2019,16,hapoel raanana,maccabi tel aviv,300,4300,4600,A
2018-2019,16,maccabi netanya,ironi kiryat shmona,3300,100,3400,H
2018-2019,16,hapoel beer sheva,ashdod fc,10954,25,10979,H
2018-2019,16,maccabi haifa,bnei yehuda tel aviv,9935,413,10348,H
2018-2019,16,hapoel hadera,maccabi petah tikva,1040,60,1100,H
2018-2019,16,hapoel tel aviv,bnei sakhnin,3700,150,3850,H
2018-2019,16,beitar jerusalem,hapoel haifa,7393,120,7513,D
2018-2019,17,ironi kiryat shmona,hapoel tel aviv,1020,1300,2320,H
2018-2019,17,hapoel haifa,hapoel hadera,3850,450,4300,D
2018-2019,17,maccabi petah tikva,maccabi haifa,1200,3300,4500,A
2018-2019,17,bnei sakhnin,beitar jerusalem,3247,1200,4447,D
2018-2019,17,ashdod fc,hapoel raanana,310,20,330,D
2018-2019,17,bnei yehuda tel aviv,hapoel beer sheva,1000,1200,2200,H
2018-2019,17,maccabi tel aviv,maccabi netanya,7300,1323,8623,H
2018-2019,18,maccabi netanya,ashdod fc,3900,30,3930,H
2018-2019,18,hapoel raanana,bnei yehuda tel aviv,300,650,950,D
2018-2019,18,hapoel haifa,maccabi petah tikva,3434,52,3486,H
2018-2019,18,hapoel hadera,bnei sakhnin,1700,100,1800,H
2018-2019,18,hapoel beer sheva,maccabi haifa,13233,1605,14838,A
2018-2019,18,beitar jerusalem,ironi kiryat shmona,6447,38,6485,D
2018-2019,18,hapoel tel aviv,maccabi tel aviv,7500,1005,8505,D
2018-2019,19,bnei yehuda tel aviv,maccabi netanya,1050,1410,2460,D
2018-2019,19,bnei sakhnin,hapoel haifa,1240,250,1490,A
2018-2019,19,maccabi haifa,hapoel raanana,17208,50,17258,D
2018-2019,19,maccabi petah tikva,hapoel beer sheva,600,900,1500,A
2018-2019,19,ironi kiryat shmona,hapoel hadera,600,150,750,H
2018-2019,19,ashdod fc,hapoel tel aviv,1000,1600,2600,D
2018-2019,19,maccabi tel aviv,beitar jerusalem,10550,1280,11830,H
2018-2019,20,hapoel tel aviv,bnei yehuda tel aviv,5514,726,6240,H
2018-2019,20,hapoel haifa,ironi kiryat shmona,4270,80,4350,D
2018-2019,20,hapoel raanana,hapoel beer sheva,398,1509,1907,H
2018-2019,20,beitar jerusalem,ashdod fc,7164,36,7200,H
2018-2019,20,bnei sakhnin,maccabi petah tikva,2200,30,2230,A
2018-2019,20,maccabi netanya,maccabi haifa,5440,3690,9130,D
2018-2019,20,hapoel hadera,maccabi tel aviv,1651,3080,4731,A
2018-2019,21,maccabi petah tikva,hapoel raanana,1950,50,2000,D
2018-2019,21,ashdod fc,hapoel hadera,690,350,1040,A
2018-2019,21,hapoel beer sheva,maccabi netanya,10250,750,11000,D
2018-2019,21,bnei yehuda tel aviv,beitar jerusalem,1900,5500,7400,A
2018-2019,21,ironi kiryat shmona,bnei sakhnin,996,258,1254,D
2018-2019,21,maccabi tel aviv,hapoel haifa,8300,1160,9460,D
2018-2019,21,maccabi haifa,hapoel tel aviv,15323,2583,17906,H
2018-2019,22,hapoel haifa,ashdod fc,4321,26,4347,A
2018-2019,22,ironi kiryat shmona,maccabi petah tikva,500,40,540,A
2018-2019,22,maccabi netanya,hapoel raanana,5070,30,5100,H
2018-2019,22,hapoel tel aviv,hapoel beer sheva,5800,1100,6900,H
2018-2019,22,hapoel hadera,bnei yehuda tel aviv,100,200,300,A
2018-2019,22,beitar jerusalem,maccabi haifa,14128,3889,18017,D
2018-2019,22,bnei sakhnin,maccabi tel aviv,0,0,0,D
2018-2019,23,hapoel raanana,hapoel tel aviv,436,1829,2265,D
2018-2019,23,ashdod fc,bnei sakhnin,350,300,650,H
2018-2019,23,bnei yehuda tel aviv,hapoel haifa,0,600,600,H
2018-2019,23,maccabi tel aviv,ironi kiryat shmona,6700,72,6772,H
2018-2019,23,maccabi petah tikva,maccabi netanya,500,1200,1700,A
2018-2019,23,maccabi haifa,hapoel hadera,13466,428,13894,H
2018-2019,23,hapoel beer sheva,beitar jerusalem,13750,1750,15500,H
2018-2019,24,maccabi tel aviv,maccabi petah tikva,11500,98,11598,H
2018-2019,24,bnei sakhnin,bnei yehuda tel aviv,0,0,0,H
2018-2019,24,hapoel tel aviv,maccabi netanya,6045,1450,7495,A
2018-2019,24,beitar jerusalem,hapoel raanana,6000,27,6027,H
2018-2019,24,ironi kiryat shmona,ashdod fc,589,9,598,D
2018-2019,24,hapoel hadera,hapoel beer sheva,2491,1160,3651,A
2018-2019,24,hapoel haifa,maccabi haifa,8000,17100,25100,D
2018-2019,25,maccabi haifa,bnei sakhnin,14865,843,15708,H
2018-2019,25,bnei yehuda tel aviv,ironi kiryat shmona,1080,20,1100,A
2018-2019,25,ashdod fc,maccabi tel aviv,850,2500,3350,A
2018-2019,25,maccabi netanya,beitar jerusalem,6000,2400,8400,H
2018-2019,25,hapoel raanana,hapoel hadera,350,260,610,H
2018-2019,25,hapoel tel aviv,maccabi petah tikva,4545,130,4675,H
2018-2019,25,hapoel beer sheva,hapoel haifa,12617,522,13139,H
2018-2019,26,hapoel hadera,maccabi netanya,2010,2840,4850,D
2018-2019,26,ironi kiryat shmona,maccabi haifa,1000,1500,2500,A
2018-2019,26,beitar jerusalem,hapoel tel aviv,12202,2226,14428,A
2018-2019,26,hapoel haifa,hapoel raanana,3550,50,3600,D
2018-2019,26,maccabi petah tikva,ashdod fc,1000,450,1450,H
2018-2019,26,bnei sakhnin,hapoel beer sheva,1600,200,1800,D
2018-2019,26,maccabi tel aviv,bnei yehuda tel aviv,7500,250,7750,H
2018-2019,27,maccabi tel aviv,hapoel hadera,6200,300,6500,H
2018-2019,27,hapoel raanana,bnei sakhnin,195,116,311,D
2018-2019,27,hapoel tel aviv,ashdod fc,4350,70,4420,H
2018-2019,27,maccabi haifa,bnei yehuda tel aviv,10832,131,10963,A
2018-2019,27,ironi kiryat shmona,maccabi petah tikva,470,17,487,A
2018-2019,27,maccabi netanya,hapoel beer sheva,4450,650,5100,A
2018-2019,27,hapoel haifa,beitar jerusalem,1836,1064,2900,D
2018-2019,28,hapoel hadera,hapoel beer sheva,750,1100,1850,A
2018-2019,28,ashdod fc,ironi kiryat shmona,228,30,258,H
2018-2019,28,bnei yehuda tel aviv,maccabi netanya,1060,850,1910,D
2018-2019,28,maccabi tel aviv,maccabi haifa,11000,1280,12280,H
2018-2019,28,maccabi petah tikva,hapoel raanana,420,40,460,D
2018-2019,28,beitar jerusalem,bnei sakhnin,5000,131,5131,D
2018-2019,28,hapoel haifa,hapoel tel aviv,2260,990,3250,D
2018-2019,29,hapoel beer sheva,bnei yehuda tel aviv,12900,50,12950,H
2018-2019,29,ironi kiryat shmona,hapoel haifa,999,157,1156,H
2018-2019,29,bnei sakhnin,maccabi petah tikva,2000,30,2030,D
2018-2019,29,maccabi haifa,hapoel hadera,9517,103,9620,A
2018-2019,29,hapoel raanana,ashdod fc,460,40,500,A
2018-2019,29,maccabi netanya,maccabi tel aviv,4100,850,4950,A
2018-2019,29,hapoel tel aviv,beitar jerusalem,6990,1110,8100,A
2018-2019,30,hapoel haifa,hapoel raanana,2061,39,2100,A
2018-2019,30,hapoel tel aviv,ironi kiryat shmona,4450,50,4500,D
2018-2019,30,ashdod fc,bnei sakhnin,640,40,680,A
2018-2019,30,beitar jerusalem,maccabi petah tikva,4789,20,4809,H
2018-2019,30,hapoel hadera,bnei yehuda tel aviv,864,126,990,A
2018-2019,30,maccabi haifa,maccabi netanya,10575,583,11158,H
2018-2019,30,maccabi tel aviv,hapoel beer sheva,8246,1107,9353,D
2018-2019,31,hapoel beer sheva,maccabi haifa,14152,1600,15752,A
2018-2019,31,maccabi netanya,hapoel hadera,3750,200,3950,H
2018-2019,31,bnei yehuda tel aviv,maccabi tel aviv,1900,3100,5000,A
2018-2019,31,maccabi petah tikva,ashdod fc,653,47,700,A
2018-2019,31,hapoel raanana,hapoel tel aviv,306,859,1165,H
2018-2019,31,ironi kiryat shmona,beitar jerusalem,350,317,667,A
2018-2019,31,bnei sakhnin,hapoel haifa,1000,150,1150,A
2018-2019,32,hapoel hadera,maccabi tel aviv,700,1800,2500,A
2018-2019,32,hapoel beer sheva,maccabi netanya,11200,341,11541,A
2018-2019,32,bnei yehuda tel aviv,maccabi haifa,1400,4100,5500,D
2018-2019,32,beitar jerusalem,ashdod fc,11400,83,11483,A
2018-2019,32,ironi kiryat shmona,hapoel raanana,1300,15,1315,D
2018-2019,32,hapoel haifa,maccabi petah tikva,2430,55,2485,A
2018-2019,32,hapoel tel aviv,bnei sakhnin,4566,30,4596,H
2018-2019,33,hapoel hadera,maccabi netanya,600,1000,1600,A
2018-2019,33,maccabi tel aviv,bnei yehuda tel aviv,4700,60,4760,A
2018-2019,33,maccabi haifa,hapoel beer sheva,13776,471,14247,H
2018-2019,33,hapoel raanana,beitar jerusalem,514,654,1168,A
2018-2019,33,maccabi petah tikva,hapoel tel aviv,1300,850,2150,A
2018-2019,33,bnei sakhnin,ironi kiryat shmona,60,190,250,A
2018-2019,33,ashdod fc,hapoel haifa,1973,183,2156,H
2018-2019,34,maccabi tel aviv,maccabi netanya,7752,980,8732,H
2018-2019,34,bnei yehuda tel aviv,hapoel beer sheva,1025,975,2000,A
2018-2019,34,hapoel hadera,maccabi haifa,1254,2433,3687,H
2018-2019,35,maccabi haifa,maccabi tel aviv,14741,1500,16241,D
2018-2019,35,hapoel beer sheva,hapoel hadera,9208,30,9238,H
2018-2019,35,maccabi netanya,bnei yehuda tel aviv,2950,250,3200,A
2018-2019,36,maccabi netanya,maccabi haifa,0,0,0,A
2018-2019,36,hapoel beer sheva,maccabi tel aviv,0,0,0,A
2018-2019,36,bnei yehuda tel aviv,hapoel hadera,0,0,0,A
2019-2020,1,maccabi haifa,hapoel raanana,17602,30,17632,H
2019-2020,1,hapoel hadera,ashdod fc,856,117,973,D
2019-2020,1,sektzia nes ziona,maccabi tel aviv,1000,4654,5654,A
2019-2020,1,hapoel kfar sava,hapoel haifa,1023,894,1917,A
2019-2020,1,bnei yehuda tel aviv,ironi kiryat shmona,3123,195,3318,H
2019-2020,1,beitar jerusalem,hapoel beer sheva,16710,1958,18668,D
2019-2020,1,hapoel tel aviv,maccabi netanya,15400,3200,18600,D
2019-2020,2,ashdod fc,hapoel tel aviv,1153,2100,3253,H
2019-2020,2,maccabi netanya,sektzia nes ziona,4406,120,4526,H
2019-2020,2,hapoel haifa,maccabi haifa,6900,16500,23400,D
2019-2020,2,hapoel beer sheva,hapoel hadera,11420,60,11480,H
2019-2020,2,hapoel raanana,beitar jerusalem,835,6679,7514,H
2019-2020,2,maccabi tel aviv,bnei yehuda tel aviv,25093,1420,26513,D
2019-2020,2,ironi kiryat shmona,hapoel kfar sava,800,55,855,A
2019-2020,3,maccabi haifa,ironi kiryat shmona,18037,87,18124,H
2019-2020,3,hapoel hadera,hapoel raanana,1106,65,1171,H
2019-2020,3,hapoel tel aviv,sektzia nes ziona,10108,228,10336,D
2019-2020,3,hapoel kfar sava,maccabi tel aviv,1466,3149,4615,A
2019-2020,3,bnei yehuda tel aviv,maccabi netanya,1760,1100,2860,D
2019-2020,3,ashdod fc,hapoel beer sheva,1400,2000,3400,D
2019-2020,3,beitar jerusalem,hapoel haifa,9957,759,10716,A
2019-2020,4,maccabi netanya,hapoel kfar sava,5100,300,5400,D
2019-2020,4,sektzia nes ziona,bnei yehuda tel aviv,325,602,927,A
2019-2020,4,ironi kiryat shmona,beitar jerusalem,1200,1400,2600,A
2019-2020,4,maccabi tel aviv,maccabi haifa,22130,4104,26234,H
2019-2020,4,hapoel raanana,ashdod fc,190,190,380,D
2019-2020,4,hapoel haifa,hapoel hadera,2920,280,3200,A
2019-2020,4,hapoel beer sheva,hapoel tel aviv,10947,1340,12287,H
2019-2020,5,hapoel kfar sava,sektzia nes ziona,710,80,790,D
2019-2020,5,maccabi haifa,maccabi netanya,14400,773,15173,H
2019-2020,5,hapoel hadera,ironi kiryat shmona,1550,57,1607,D
2019-2020,5,ashdod fc,hapoel haifa,900,450,1350,D
2019-2020,5,hapoel tel aviv,bnei yehuda tel aviv,9490,1390,10880,D
2019-2020,5,beitar jerusalem,maccabi tel aviv,12736,3199,15935,A
2019-2020,5,hapoel beer sheva,hapoel raanana,11421,26,11447,H
2019-2020,6,maccabi tel aviv,hapoel hadera,24029,800,24829,D
2019-2020,6,sektzia nes ziona,maccabi haifa,800,9726,10526,A
2019-2020,6,hapoel haifa,hapoel beer sheva,3668,932,4600,A
2019-2020,6,bnei yehuda tel aviv,hapoel kfar sava,1290,250,1540,A
2019-2020,6,hapoel raanana,hapoel tel aviv,800,1700,2500,D
2019-2020,6,maccabi netanya,beitar jerusalem,5376,2200,7576,A
2019-2020,6,ironi kiryat shmona,ashdod fc,550,30,580,H
2019-2020,7,hapoel tel aviv,hapoel kfar sava,9310,740,10050,H
2019-2020,7,hapoel beer sheva,ironi kiryat shmona,12482,59,12541,H
2019-2020,7,hapoel hadera,maccabi netanya,1524,1335,2859,H
