season,matchday,home team,away team,home attendance,away attendance,total attendance,winning team
2016-2017,13,hapoel ashqelon,bnei yehuda tel aviv,1800,315,2115,H
2016-2017,13,hapoel raanana,maccabi haifa,1000,3000,4000,D
2016-2017,13,ashdod fc,maccabi petah tikva,380,50,430,D
2016-2017,13,hapoel haifa,maccabi tel aviv,2300,1000,3300,A
2016-2017,13,beitar jerusalem,hapoel beer sheva,7200,1100,8300,A
2016-2017,14,hapoel kfar sava,maccabi tel aviv,2084,1766,3850,D
2016-2017,14,ashdod fc,ironi kiryat shmona,568,35,603,D
2016-2017,14,bnei sakhnin,bnei yehuda tel aviv,2030,80,2110,D
2016-2017,14,beitar jerusalem,maccabi petah tikva,4150,50,4200,D
2016-2017,14,hapoel haifa,hapoel ashqelon,1200,100,1300,H
2016-2017,14,hapoel raanana,hapoel beer sheva,850,2000,2850,H
2016-2017,14,hapoel tel aviv,maccabi haifa,5000,1200,6200,A
2016-2017,15,bnei yehuda tel aviv,hapoel haifa,1395,189,1584,D
2016-2017,15,hapoel ashqelon,hapoel kfar sava,900,100,1000,D
2016-2017,15,maccabi tel aviv,ashdod fc,6128,65,6193,H
2016-2017,15,ironi kiryat shmona,beitar jerusalem,1000,1500,2500,H
2016-2017,15,maccabi petah tikva,hapoel raanana,600,38,638,H
2016-2017,15,hapoel beer sheva,hapoel tel aviv,14500,1600,16100,D
2016-2017,15,maccabi haifa,bnei sakhnin,16251,876,17127,A
2016-2017,16,hapoel kfar sava,hapoel haifa,0,0,0,A
2016-2017,16,maccabi haifa,bnei yehuda tel aviv,0,0,0,D
2016-2017,16,beitar jerusalem,maccabi tel aviv,0,0,0,H
2016-2017,16,bnei sakhnin,hapoel beer sheva,0,0,0,D
2016-2017,16,ashdod fc,hapoel ashqelon,0,0,0,H
2016-2017,16,hapoel tel aviv,maccabi petah tikva,0,0,0,A
2016-2017,16,hapoel raanana,ironi kiryat shmona,0,0,0,A
2016-2017,17,hapoel haifa,ashdod fc,0,0,0,A
